#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	NR1H4	9606.ENSP00000478255	9606.ENSP00000447149	0	0	0	0	0.138	0	0	0.383	0.446
ABCB1	AKT1	9606.ENSP00000478255	9606.ENSP00000451828	0	0	0	0	0.050	0.054	0	0.607	0.616
ABCB1	NOTCH1	9606.ENSP00000478255	9606.ENSP00000498587	0	0	0	0	0.067	0.071	0	0.383	0.419
ABCB1	IGF1R	9606.ENSP00000478255	9606.ENSP00000497069	0	0	0	0	0.050	0.070	0	0.441	0.463
AKT1	MAPK1	9606.ENSP00000451828	9606.ENSP00000215832	0	0	0	0.593	0.118	0.110	0.900	0.872	0.988
AKT1	MMP2	9606.ENSP00000451828	9606.ENSP00000219070	0	0	0	0	0.055	0	0	0.844	0.846
AKT1	MAPK14	9606.ENSP00000451828	9606.ENSP00000229795	0	0	0.119	0.621	0.246	0.739	0.900	0.535	0.990
AKT1	LGALS3	9606.ENSP00000451828	9606.ENSP00000254301	0	0	0	0	0.086	0	0	0.682	0.697
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0.980	0.999
AKT1	KDR	9606.ENSP00000451828	9606.ENSP00000263923	0	0	0	0.560	0.056	0.074	0	0.701	0.715
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0.118	0.096	0.500	0.925	0.966
AKT1	DNMT3A	9606.ENSP00000451828	9606.ENSP00000264709	0	0	0	0	0.049	0.058	0	0.506	0.518
AKT1	CDK6	9606.ENSP00000451828	9606.ENSP00000265734	0	0	0	0.603	0.042	0.228	0	0.307	0.443
AKT1	CDK2	9606.ENSP00000451828	9606.ENSP00000266970	0	0	0	0.651	0.060	0.098	0	0.542	0.577
AKT1	EGFR	9606.ENSP00000451828	9606.ENSP00000275493	0	0	0	0.559	0.042	0.640	0	0.445	0.792
AKT1	PPARG	9606.ENSP00000451828	9606.ENSP00000287820	0	0	0	0	0.084	0.071	0	0.773	0.790
AKT1	ALB	9606.ENSP00000451828	9606.ENSP00000295897	0	0	0	0	0	0	0	0.795	0.795
AKT1	NOS3	9606.ENSP00000451828	9606.ENSP00000297494	0	0	0	0	0	0.786	0.900	0.909	0.997
AKT1	MAP2K1	9606.ENSP00000451828	9606.ENSP00000302486	0	0	0.100	0.632	0.060	0.161	0	0.366	0.490
AKT1	TERT	9606.ENSP00000451828	9606.ENSP00000309572	0	0	0	0	0.050	0.612	0	0.758	0.903
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0.044	0.311	0	0.923	0.945
AKT1	TYMS	9606.ENSP00000451828	9606.ENSP00000315644	0	0	0	0	0.042	0	0	0.434	0.435
AKT1	MET	9606.ENSP00000451828	9606.ENSP00000317272	0	0	0	0.570	0	0.071	0	0.389	0.408
AKT1	NQO1	9606.ENSP00000451828	9606.ENSP00000319788	0	0	0	0	0.042	0.292	0	0.602	0.706
AKT1	PCK1	9606.ENSP00000451828	9606.ENSP00000319814	0	0	0	0	0	0.292	0	0.504	0.634
AKT1	MMP1	9606.ENSP00000451828	9606.ENSP00000322788	0	0	0	0	0.055	0	0	0.571	0.578
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0	0.579	0.138	0.929	0.900	0.428	0.996
AKT1	NR1I2	9606.ENSP00000451828	9606.ENSP00000336528	0	0	0	0	0.055	0.071	0	0.437	0.463
AKT1	TGFBR2	9606.ENSP00000451828	9606.ENSP00000351905	0	0	0	0.562	0.114	0	0	0.534	0.570
AKT1	STAT1	9606.ENSP00000451828	9606.ENSP00000354394	0	0	0	0	0.106	0.096	0.400	0.930	0.961
AKT1	PARP1	9606.ENSP00000451828	9606.ENSP00000355759	0	0	0	0	0.049	0	0	0.824	0.825
AKT1	PTGS2	9606.ENSP00000451828	9606.ENSP00000356438	0	0	0	0	0.078	0	0	0.767	0.775
AKT1	XIAP	9606.ENSP00000451828	9606.ENSP00000360242	0	0	0	0	0.049	0.786	0	0.725	0.939
AKT1	MMP9	9606.ENSP00000451828	9606.ENSP00000361405	0	0	0	0	0.086	0	0	0.819	0.827
AKT1	PLAU	9606.ENSP00000451828	9606.ENSP00000361850	0	0	0	0	0.055	0.096	0	0.583	0.612
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.171	0.566	0.088	0.601	0.500	0.977	0.995
AKT1	TLR4	9606.ENSP00000451828	9606.ENSP00000363089	0	0	0	0	0.074	0.100	0	0.745	0.769
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0	0	0	0.055	0.636	0	0.721	0.895
AKT1	IGF1	9606.ENSP00000451828	9606.ENSP00000376637	0	0	0	0	0	0.063	0	0.934	0.935
AKT1	KEAP1	9606.ENSP00000451828	9606.ENSP00000377245	0	0	0	0	0.164	0	0	0.684	0.724
AKT1	MAPK8	9606.ENSP00000451828	9606.ENSP00000378974	0	0	0	0.576	0.053	0.326	0	0.576	0.706
AKT1	GSTP1	9606.ENSP00000451828	9606.ENSP00000381607	0	0	0	0	0.043	0	0	0.400	0.401
AKT1	PPARA	9606.ENSP00000451828	9606.ENSP00000385523	0	0	0	0	0.084	0.071	0	0.676	0.700
AKT1	IDH1	9606.ENSP00000451828	9606.ENSP00000390265	0	0	0	0	0.042	0	0	0.618	0.619
AKT1	CHEK1	9606.ENSP00000451828	9606.ENSP00000391090	0	0	0	0.570	0	0.200	0	0.285	0.404
AKT1	FGFR1	9606.ENSP00000451828	9606.ENSP00000393312	0	0	0	0.570	0.050	0.316	0	0.365	0.552
AKT1	ESR1	9606.ENSP00000451828	9606.ENSP00000405330	0	0	0	0	0.055	0.314	0	0.877	0.913
AKT1	HRAS	9606.ENSP00000451828	9606.ENSP00000407586	0	0	0	0	0.103	0.110	0	0.880	0.896
AKT1	RXRA	9606.ENSP00000451828	9606.ENSP00000419692	0	0	0	0	0.099	0.071	0	0.554	0.595
AKT1	HIF1A	9606.ENSP00000451828	9606.ENSP00000437955	0	0	0	0	0	0.229	0	0.916	0.932
AKT1	NR1H4	9606.ENSP00000451828	9606.ENSP00000447149	0	0	0	0	0.055	0.071	0	0.463	0.487
AKT1	IGF1R	9606.ENSP00000451828	9606.ENSP00000497069	0	0	0	0.559	0.062	0.294	0	0.470	0.619
AKT1	PTPN11	9606.ENSP00000451828	9606.ENSP00000489597	0	0	0	0	0.081	0.152	0	0.718	0.762
AKT1	CCNA2	9606.ENSP00000451828	9606.ENSP00000481380	0	0	0	0	0.051	0.295	0	0.685	0.771
AKT1	NOTCH1	9606.ENSP00000451828	9606.ENSP00000498587	0	0	0	0	0.139	0.505	0	0.757	0.887
ALB	MAPK1	9606.ENSP00000295897	9606.ENSP00000215832	0	0	0	0	0	0	0	0.563	0.563
ALB	MMP2	9606.ENSP00000295897	9606.ENSP00000219070	0	0	0	0	0.073	0.069	0	0.616	0.640
ALB	MAPK14	9606.ENSP00000295897	9606.ENSP00000229795	0	0	0	0	0	0	0	0.472	0.472
ALB	LGALS3	9606.ENSP00000295897	9606.ENSP00000254301	0	0	0	0	0.055	0	0	0.766	0.770
ALB	MDM2	9606.ENSP00000295897	9606.ENSP00000258149	0	0	0	0	0	0.292	0	0.457	0.599
ALB	KDR	9606.ENSP00000295897	9606.ENSP00000263923	0	0	0	0	0	0	0	0.618	0.618
ALB	STAT3	9606.ENSP00000295897	9606.ENSP00000264657	0	0	0	0	0	0	0	0.694	0.694
ALB	CDK6	9606.ENSP00000295897	9606.ENSP00000265734	0	0	0	0	0.086	0	0	0.384	0.413
ALB	CDK2	9606.ENSP00000295897	9606.ENSP00000266970	0	0	0	0	0.081	0	0	0.516	0.536
ALB	EGFR	9606.ENSP00000295897	9606.ENSP00000275493	0	0	0	0	0	0	0	0.808	0.808
ALB	PPARG	9606.ENSP00000295897	9606.ENSP00000287820	0	0	0	0	0	0.045	0	0.681	0.682
ALB	PCK1	9606.ENSP00000295897	9606.ENSP00000319814	0	0	0	0	0.099	0	0	0.367	0.405
ALB	FGFR1	9606.ENSP00000295897	9606.ENSP00000393312	0	0	0	0	0	0	0	0.405	0.405
ALB	CHEK1	9606.ENSP00000295897	9606.ENSP00000391090	0	0	0	0	0.084	0	0	0.392	0.419
ALB	IDH1	9606.ENSP00000295897	9606.ENSP00000390265	0	0	0	0	0.056	0	0	0.411	0.420
ALB	TGFBR2	9606.ENSP00000295897	9606.ENSP00000351905	0	0	0	0	0	0	0	0.424	0.424
ALB	PLK1	9606.ENSP00000295897	9606.ENSP00000300093	0	0	0	0	0.057	0	0	0.420	0.429
ALB	HRAS	9606.ENSP00000295897	9606.ENSP00000407586	0	0	0	0	0	0	0	0.440	0.440
ALB	TGFBR1	9606.ENSP00000295897	9606.ENSP00000447297	0	0	0	0	0	0	0	0.453	0.453
ALB	NOTCH1	9606.ENSP00000295897	9606.ENSP00000498587	0	0	0	0	0	0	0	0.463	0.463
ALB	TERT	9606.ENSP00000295897	9606.ENSP00000309572	0	0	0	0	0.053	0	0	0.462	0.469
ALB	MMP1	9606.ENSP00000295897	9606.ENSP00000322788	0	0	0	0	0.066	0.069	0	0.453	0.483
ALB	NR1I2	9606.ENSP00000295897	9606.ENSP00000336528	0	0	0	0	0.067	0.045	0	0.468	0.484
ALB	IGF1R	9606.ENSP00000295897	9606.ENSP00000497069	0	0	0	0	0	0	0	0.496	0.496
ALB	MAP2K1	9606.ENSP00000295897	9606.ENSP00000302486	0	0	0	0	0.044	0	0	0.511	0.512
ALB	MET	9606.ENSP00000295897	9606.ENSP00000317272	0	0	0	0	0.065	0	0	0.511	0.523
ALB	MAPK8	9606.ENSP00000295897	9606.ENSP00000378974	0	0	0	0	0.080	0	0	0.506	0.526
ALB	NQO1	9606.ENSP00000295897	9606.ENSP00000319788	0	0	0	0	0.062	0	0	0.519	0.529
ALB	KEAP1	9606.ENSP00000295897	9606.ENSP00000377245	0	0	0	0	0	0	0	0.532	0.532
ALB	AR	9606.ENSP00000295897	9606.ENSP00000363822	0	0	0	0	0	0.045	0	0.532	0.534
ALB	STAT1	9606.ENSP00000295897	9606.ENSP00000354394	0	0	0	0	0	0	0	0.545	0.545
ALB	XIAP	9606.ENSP00000295897	9606.ENSP00000360242	0	0	0	0	0	0	0	0.547	0.547
ALB	NR1H4	9606.ENSP00000295897	9606.ENSP00000447149	0	0	0	0	0.158	0.045	0	0.489	0.553
ALB	CCNA2	9606.ENSP00000295897	9606.ENSP00000481380	0	0	0	0	0.084	0.129	0	0.488	0.556
ALB	PRKACA	9606.ENSP00000295897	9606.ENSP00000309591	0	0	0	0	0	0	0	0.612	0.612
ALB	NOS3	9606.ENSP00000295897	9606.ENSP00000297494	0	0	0	0	0	0	0	0.624	0.624
ALB	PARP1	9606.ENSP00000295897	9606.ENSP00000355759	0	0	0	0	0.060	0	0	0.618	0.626
ALB	HIF1A	9606.ENSP00000295897	9606.ENSP00000437955	0	0	0	0	0	0	0	0.642	0.642
ALB	SRC	9606.ENSP00000295897	9606.ENSP00000362680	0	0	0	0	0	0	0	0.655	0.655
ALB	GSK3B	9606.ENSP00000295897	9606.ENSP00000324806	0	0	0	0	0	0.162	0	0.627	0.674
ALB	PLAU	9606.ENSP00000295897	9606.ENSP00000361850	0	0	0	0	0.059	0.052	0	0.699	0.708
ALB	MMP9	9606.ENSP00000295897	9606.ENSP00000361405	0	0	0	0	0.053	0.069	0	0.734	0.745
ALB	PPARA	9606.ENSP00000295897	9606.ENSP00000385523	0	0	0	0	0	0.115	0	0.730	0.751
ALB	PTGS2	9606.ENSP00000295897	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.769	0.772
ALB	ESR1	9606.ENSP00000295897	9606.ENSP00000405330	0	0	0	0	0.042	0.045	0	0.795	0.796
ALB	CASP3	9606.ENSP00000295897	9606.ENSP00000311032	0	0	0	0	0	0	0	0.815	0.815
ALB	TLR4	9606.ENSP00000295897	9606.ENSP00000363089	0	0	0	0	0	0	0	0.821	0.821
ALB	IGF1	9606.ENSP00000295897	9606.ENSP00000376637	0	0	0	0	0	0	0	0.830	0.830
ALB	F2	9606.ENSP00000295897	9606.ENSP00000308541	0	0	0	0	0.652	0.052	0	0.973	0.990
ALB	SERPINA1	9606.ENSP00000295897	9606.ENSP00000416066	0	0	0	0	0.263	0.074	0.400	0.996	0.998
ALDH2	GSTP1	9606.ENSP00000261733	9606.ENSP00000381607	0	0	0	0	0.122	0.053	0	0.419	0.476
ALDH2	SERPINA1	9606.ENSP00000261733	9606.ENSP00000416066	0	0	0	0	0.082	0.422	0	0.167	0.519
ALDH2	IDH1	9606.ENSP00000261733	9606.ENSP00000390265	0	0	0	0	0.133	0	0	0.492	0.541
AR	MAPK1	9606.ENSP00000363822	9606.ENSP00000215832	0	0	0	0	0	0.292	0	0.360	0.527
AR	MMP2	9606.ENSP00000363822	9606.ENSP00000219070	0	0	0	0	0.059	0	0	0.400	0.412
AR	MDM2	9606.ENSP00000363822	9606.ENSP00000258149	0	0	0	0	0	0.920	0	0.979	0.998
AR	STAT3	9606.ENSP00000363822	9606.ENSP00000264657	0	0	0	0	0.048	0.626	0	0.761	0.907
AR	CDK6	9606.ENSP00000363822	9606.ENSP00000265734	0	0	0	0	0	0.407	0	0.440	0.654
AR	CDK2	9606.ENSP00000363822	9606.ENSP00000266970	0	0	0	0	0	0.045	0	0.493	0.495
AR	EGFR	9606.ENSP00000363822	9606.ENSP00000275493	0	0	0	0	0	0.536	0	0.720	0.864
AR	PPARG	9606.ENSP00000363822	9606.ENSP00000287820	0	0	0	0.571	0	0	0	0.517	0.517
AR	TERT	9606.ENSP00000363822	9606.ENSP00000309572	0	0	0	0	0	0	0	0.420	0.420
AR	PRKACA	9606.ENSP00000363822	9606.ENSP00000309591	0	0	0	0	0.048	0	0.900	0.415	0.939
AR	CASP3	9606.ENSP00000363822	9606.ENSP00000311032	0	0	0	0	0.046	0	0	0.595	0.597
AR	MET	9606.ENSP00000363822	9606.ENSP00000317272	0	0	0	0	0.046	0.071	0	0.488	0.507
AR	GSK3B	9606.ENSP00000363822	9606.ENSP00000324806	0	0	0	0	0	0.314	0	0.778	0.841
AR	STAT1	9606.ENSP00000363822	9606.ENSP00000354394	0	0	0	0	0	0.045	0	0.569	0.571
AR	PARP1	9606.ENSP00000363822	9606.ENSP00000355759	0	0	0	0	0	0	0	0.621	0.621
AR	PTGS2	9606.ENSP00000363822	9606.ENSP00000356438	0	0	0	0	0.047	0	0	0.420	0.423
AR	MMP9	9606.ENSP00000363822	9606.ENSP00000361405	0	0	0	0	0	0	0	0.495	0.495
AR	SRC	9606.ENSP00000363822	9606.ENSP00000362680	0	0	0	0	0	0.748	0	0.944	0.985
AR	GSTP1	9606.ENSP00000363822	9606.ENSP00000381607	0	0	0	0	0	0.045	0	0.418	0.420
AR	NOTCH1	9606.ENSP00000363822	9606.ENSP00000498587	0	0	0	0	0	0.050	0	0.421	0.427
AR	CCNA2	9606.ENSP00000363822	9606.ENSP00000481380	0	0	0	0	0.049	0	0	0.426	0.431
AR	IGF1	9606.ENSP00000363822	9606.ENSP00000376637	0	0	0	0	0.076	0	0	0.738	0.747
AR	IGF1R	9606.ENSP00000363822	9606.ENSP00000497069	0	0	0	0	0.085	0.071	0	0.792	0.808
AR	HIF1A	9606.ENSP00000363822	9606.ENSP00000437955	0	0	0	0	0.067	0.525	0	0.733	0.871
AR	ESR1	9606.ENSP00000363822	9606.ENSP00000405330	0	0	0	0.651	0.172	0	0	0.978	0.981
CASP3	MAPK1	9606.ENSP00000311032	9606.ENSP00000215832	0	0	0	0	0.100	0.045	0.900	0.599	0.961
CASP3	MMP2	9606.ENSP00000311032	9606.ENSP00000219070	0	0	0	0	0.090	0	0	0.698	0.713
CASP3	MAPK14	9606.ENSP00000311032	9606.ENSP00000229795	0	0	0	0	0.105	0.294	0	0.733	0.817
CASP3	LGALS3	9606.ENSP00000311032	9606.ENSP00000254301	0	0	0	0	0	0.084	0	0.436	0.461
CASP3	MDM2	9606.ENSP00000311032	9606.ENSP00000258149	0	0	0	0	0.066	0.832	0	0.803	0.966
CASP3	KDR	9606.ENSP00000311032	9606.ENSP00000263923	0	0	0	0	0	0	0	0.598	0.598
CASP3	STAT3	9606.ENSP00000311032	9606.ENSP00000264657	0	0	0	0	0.055	0	0	0.801	0.804
CASP3	CDK6	9606.ENSP00000311032	9606.ENSP00000265734	0	0	0	0	0.126	0	0	0.638	0.670
CASP3	CDK2	9606.ENSP00000311032	9606.ENSP00000266970	0	0	0	0	0.114	0.075	0	0.808	0.829
CASP3	EGFR	9606.ENSP00000311032	9606.ENSP00000275493	0	0	0	0	0.061	0	0	0.741	0.747
CASP3	PPARG	9606.ENSP00000311032	9606.ENSP00000287820	0	0	0	0	0.046	0	0	0.692	0.694
CASP3	NOS3	9606.ENSP00000311032	9606.ENSP00000297494	0	0	0	0	0	0	0	0.604	0.604
CASP3	PLK1	9606.ENSP00000311032	9606.ENSP00000300093	0	0	0	0	0.055	0	0	0.637	0.642
CASP3	MAP2K1	9606.ENSP00000311032	9606.ENSP00000302486	0	0	0	0	0.110	0	0	0.615	0.643
CASP3	TERT	9606.ENSP00000311032	9606.ENSP00000309572	0	0	0	0	0	0	0	0.468	0.468
CASP3	PRKACA	9606.ENSP00000311032	9606.ENSP00000309591	0	0	0	0	0.042	0	0	0.537	0.537
CASP3	PTPN11	9606.ENSP00000311032	9606.ENSP00000489597	0	0	0	0	0.079	0	0	0.377	0.402
CASP3	FGFR1	9606.ENSP00000311032	9606.ENSP00000393312	0	0	0	0	0.042	0	0	0.414	0.415
CASP3	TGFBR2	9606.ENSP00000311032	9606.ENSP00000351905	0	0	0	0	0	0.067	0	0.400	0.416
CASP3	PLAU	9606.ENSP00000311032	9606.ENSP00000361850	0	0	0	0	0.047	0	0	0.415	0.418
CASP3	TYMS	9606.ENSP00000311032	9606.ENSP00000315644	0	0	0	0	0.120	0	0	0.415	0.464
CASP3	TGFBR1	9606.ENSP00000311032	9606.ENSP00000447297	0	0	0	0	0.125	0.067	0	0.398	0.466
CASP3	HRAS	9606.ENSP00000311032	9606.ENSP00000407586	0	0	0	0	0.055	0.053	0	0.466	0.480
CASP3	MMP1	9606.ENSP00000311032	9606.ENSP00000322788	0	0	0	0	0.114	0	0	0.450	0.492
CASP3	SERPINA1	9606.ENSP00000311032	9606.ENSP00000416066	0	0	0	0	0.055	0	0	0.564	0.571
CASP3	PPARA	9606.ENSP00000311032	9606.ENSP00000385523	0	0	0	0	0.046	0	0	0.570	0.572
CASP3	NOTCH1	9606.ENSP00000311032	9606.ENSP00000498587	0	0	0	0	0.044	0.061	0	0.566	0.576
CASP3	IGF1R	9606.ENSP00000311032	9606.ENSP00000497069	0	0	0	0	0.087	0.067	0	0.601	0.631
CASP3	NQO1	9606.ENSP00000311032	9606.ENSP00000319788	0	0	0	0	0.043	0	0	0.645	0.645
CASP3	KEAP1	9606.ENSP00000311032	9606.ENSP00000377245	0	0	0	0	0.071	0	0	0.638	0.650
CASP3	IGF1	9606.ENSP00000311032	9606.ENSP00000376637	0	0	0	0	0	0	0	0.680	0.680
CASP3	SRC	9606.ENSP00000311032	9606.ENSP00000362680	0	0	0	0	0.053	0.067	0	0.672	0.685
CASP3	ESR1	9606.ENSP00000311032	9606.ENSP00000405330	0	0	0	0	0.046	0	0	0.691	0.692
CASP3	CCNA2	9606.ENSP00000311032	9606.ENSP00000481380	0	0	0	0	0.077	0	0	0.694	0.706
CASP3	MET	9606.ENSP00000311032	9606.ENSP00000317272	0	0	0	0	0	0.403	0	0.530	0.708
CASP3	TLR4	9606.ENSP00000311032	9606.ENSP00000363089	0	0	0	0	0.092	0.062	0	0.719	0.740
CASP3	GSK3B	9606.ENSP00000311032	9606.ENSP00000324806	0	0	0	0	0.057	0.067	0	0.736	0.747
CASP3	CHEK1	9606.ENSP00000311032	9606.ENSP00000391090	0	0	0	0	0.089	0	0	0.752	0.764
CASP3	HIF1A	9606.ENSP00000311032	9606.ENSP00000437955	0	0	0	0	0.094	0	0	0.752	0.766
CASP3	STAT1	9606.ENSP00000311032	9606.ENSP00000354394	0	0	0	0	0.106	0.421	0	0.610	0.780
CASP3	MMP9	9606.ENSP00000311032	9606.ENSP00000361405	0	0	0	0	0.101	0	0	0.793	0.806
CASP3	PTGS2	9606.ENSP00000311032	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.863	0.865
CASP3	MAPK8	9606.ENSP00000311032	9606.ENSP00000378974	0	0	0	0	0.049	0.292	0	0.922	0.943
CASP3	XIAP	9606.ENSP00000311032	9606.ENSP00000360242	0	0	0	0	0.069	0.998	0.900	0.998	0.999
CASP3	PARP1	9606.ENSP00000311032	9606.ENSP00000355759	0	0	0	0	0.064	0.867	0.900	0.953	0.999
CBR1	STAT3	9606.ENSP00000290349	9606.ENSP00000264657	0	0	0	0	0.042	0	0	0.442	0.442
CBR1	EGFR	9606.ENSP00000290349	9606.ENSP00000275493	0	0	0	0	0.062	0.228	0	0.460	0.575
CBR1	ESR1	9606.ENSP00000290349	9606.ENSP00000405330	0	0	0	0	0.048	0.368	0	0.116	0.421
CBR1	FGFR1	9606.ENSP00000290349	9606.ENSP00000393312	0	0	0	0	0	0	0	0.429	0.429
CBR1	GSTP1	9606.ENSP00000290349	9606.ENSP00000381607	0	0	0	0	0.088	0.056	0	0.427	0.464
CBR1	NQO1	9606.ENSP00000290349	9606.ENSP00000319788	0	0	0	0	0.104	0	0	0.441	0.479
CBR1	PTGS2	9606.ENSP00000290349	9606.ENSP00000356438	0	0	0	0	0.055	0	0	0.540	0.546
CCNA2	MAPK1	9606.ENSP00000481380	9606.ENSP00000215832	0	0.001	0	0	0.063	0	0	0.393	0.408
CCNA2	MMP2	9606.ENSP00000481380	9606.ENSP00000219070	0	0	0	0	0.067	0	0	0.413	0.429
CCNA2	MDM2	9606.ENSP00000481380	9606.ENSP00000258149	0	0	0	0	0.056	0	0.400	0.735	0.837
CCNA2	KDR	9606.ENSP00000481380	9606.ENSP00000263923	0	0	0	0	0	0.050	0	0.550	0.554
CCNA2	STAT3	9606.ENSP00000481380	9606.ENSP00000264657	0	0	0	0	0	0	0	0.519	0.519
CCNA2	CDK6	9606.ENSP00000481380	9606.ENSP00000265734	0	0.001	0	0	0.342	0.995	0	0.994	0.999
CCNA2	CDK2	9606.ENSP00000481380	9606.ENSP00000266970	0	0.003	0	0	0.453	0.999	0.900	0.999	0.999
CCNA2	EGFR	9606.ENSP00000481380	9606.ENSP00000275493	0	0	0	0	0	0	0	0.556	0.556
CCNA2	PLK1	9606.ENSP00000481380	9606.ENSP00000300093	0	0	0	0	0.757	0	0	0.836	0.958
CCNA2	MAP2K1	9606.ENSP00000481380	9606.ENSP00000302486	0	0	0	0	0.078	0	0	0.381	0.405
CCNA2	TERT	9606.ENSP00000481380	9606.ENSP00000309572	0	0	0	0	0.118	0	0.400	0.445	0.680
CCNA2	TYMS	9606.ENSP00000481380	9606.ENSP00000315644	0	0	0	0	0.768	0	0	0.444	0.865
CCNA2	GSK3B	9606.ENSP00000481380	9606.ENSP00000324806	0	0	0	0	0.051	0.046	0	0.493	0.501
CCNA2	PARP1	9606.ENSP00000481380	9606.ENSP00000355759	0	0	0	0	0.191	0	0	0.602	0.665
CCNA2	PTGS2	9606.ENSP00000481380	9606.ENSP00000356438	0	0	0	0	0.102	0	0	0.385	0.424
CCNA2	XIAP	9606.ENSP00000481380	9606.ENSP00000360242	0	0	0	0	0.083	0	0	0.399	0.426
CCNA2	MMP9	9606.ENSP00000481380	9606.ENSP00000361405	0	0	0	0	0.088	0	0	0.471	0.497
CCNA2	SRC	9606.ENSP00000481380	9606.ENSP00000362680	0	0	0	0	0.051	0.290	0	0.449	0.597
CCNA2	MAPK8	9606.ENSP00000481380	9606.ENSP00000378974	0	0	0	0	0.049	0	0	0.611	0.614
CCNA2	CHEK1	9606.ENSP00000481380	9606.ENSP00000391090	0	0	0	0	0.790	0	0	0.721	0.939
CCNA2	ESR1	9606.ENSP00000481380	9606.ENSP00000405330	0	0	0	0	0.049	0	0	0.555	0.559
CCNA2	HIF1A	9606.ENSP00000481380	9606.ENSP00000437955	0	0	0	0	0.054	0	0	0.455	0.462
CDK2	MMP2	9606.ENSP00000266970	9606.ENSP00000219070	0	0	0	0	0	0	0	0.479	0.479
CDK2	MAPK14	9606.ENSP00000266970	9606.ENSP00000229795	0	0	0.082	0.852	0.062	0.131	0	0.462	0.543
CDK2	MDM2	9606.ENSP00000266970	9606.ENSP00000258149	0	0	0	0	0	0	0.400	0.759	0.849
CDK2	KDR	9606.ENSP00000266970	9606.ENSP00000263923	0	0	0	0.601	0.051	0	0	0.426	0.432
CDK2	STAT3	9606.ENSP00000266970	9606.ENSP00000264657	0	0	0	0	0.070	0.093	0	0.594	0.627
CDK2	CDK6	9606.ENSP00000266970	9606.ENSP00000265734	0	0	0.075	0.925	0.085	0.676	0.900	0.963	0.998
CDK2	STAT1	9606.ENSP00000266970	9606.ENSP00000354394	0	0	0	0	0.062	0.093	0	0.370	0.417
